08-10-2012 11:20:05

Radiation device: UTest
Energy: 6 MeV
Controller:	Unspecified
Measurement device:	Film
Field detector:	Film
Reference detector:	Undefined
SAD:	1000 mm
SSD:	1000 mm
Field size:	100 x 100 mm
Gantry angle: 3
Measurement medium: Unknown
Scan type:	Freescan
Scan mode:	Continuous

Points [mm]:
Inline	Crossline	Depth	Normalized field	Current field	Ratio
132.05	128.11	0.00	81.24	0.00	0.00	
132.05	128.28	0.00	80.86	0.00	0.00	
132.05	128.45	0.00	80.83	0.00	0.00	
132.04	128.62	0.00	80.83	0.00	0.00	
132.04	128.79	0.00	81.18	0.00	0.00	
132.03	128.96	0.00	81.54	0.00	0.00	
132.03	129.13	0.00	81.98	0.00	0.00	
132.03	129.30	0.00	82.04	0.00	0.00	
132.02	129.47	0.00	82.03	0.00	0.00	
132.02	129.64	0.00	81.75	0.00	0.00	
132.02	129.81	0.00	81.56	0.00	0.00	
132.01	129.98	0.00	81.42	0.00	0.00	
132.01	130.14	0.00	81.41	0.00	0.00	
132.00	130.31	0.00	81.41	0.00	0.00	
132.00	130.48	0.00	81.43	0.00	0.00	
132.00	130.65	0.00	81.45	0.00	0.00	
131.99	130.82	0.00	81.42	0.00	0.00	
131.99	130.99	0.00	81.41	0.00	0.00	
131.99	131.16	0.00	81.10	0.00	0.00	
131.98	131.33	0.00	81.01	0.00	0.00	
131.98	131.50	0.00	81.02	0.00	0.00	
131.97	131.67	0.00	81.13	0.00	0.00	
131.97	131.84	0.00	81.33	0.00	0.00	
131.97	132.01	0.00	81.54	0.00	0.00	
131.96	132.18	0.00	81.54	0.00	0.00	
131.96	132.35	0.00	81.38	0.00	0.00	
131.96	132.52	0.00	81.27	0.00	0.00	
131.95	132.69	0.00	81.26	0.00	0.00	
131.95	132.86	0.00	81.33	0.00	0.00	
131.94	133.03	0.00	81.84	0.00	0.00	
131.94	133.19	0.00	82.03	0.00	0.00	
131.94	133.36	0.00	82.04	0.00	0.00	
131.93	133.53	0.00	82.18	0.00	0.00	
131.93	133.70	0.00	82.18	0.00	0.00	
131.93	133.87	0.00	81.96	0.00	0.00	
131.92	134.04	0.00	81.77	0.00	0.00	
131.92	134.21	0.00	81.77	0.00	0.00	
131.92	134.38	0.00	81.77	0.00	0.00	
131.91	134.55	0.00	81.95	0.00	0.00	
131.91	134.72	0.00	82.10	0.00	0.00	
131.90	134.89	0.00	82.13	0.00	0.00	
131.90	135.06	0.00	82.40	0.00	0.00	
131.90	135.23	0.00	82.67	0.00	0.00	
131.89	135.40	0.00	82.92	0.00	0.00	
131.89	135.57	0.00	83.22	0.00	0.00	
131.89	135.74	0.00	83.54	0.00	0.00	
131.88	135.91	0.00	83.69	0.00	0.00	
131.88	136.08	0.00	83.69	0.00	0.00	
131.87	136.24	0.00	83.58	0.00	0.00	
131.87	136.41	0.00	83.42	0.00	0.00	
131.87	136.58	0.00	83.36	0.00	0.00	
131.86	136.75	0.00	83.35	0.00	0.00	
131.86	136.92	0.00	83.46	0.00	0.00	
131.86	137.09	0.00	83.53	0.00	0.00	
131.85	137.26	0.00	83.53	0.00	0.00	
131.85	137.43	0.00	83.52	0.00	0.00	
131.84	137.60	0.00	83.48	0.00	0.00	
131.84	137.77	0.00	83.30	0.00	0.00	
131.84	137.94	0.00	83.26	0.00	0.00	
131.83	138.11	0.00	83.20	0.00	0.00	
131.83	138.28	0.00	83.20	0.00	0.00	
131.83	138.45	0.00	83.19	0.00	0.00	
131.82	138.62	0.00	83.17	0.00	0.00	
131.82	138.79	0.00	83.14	0.00	0.00	
131.82	138.96	0.00	83.11	0.00	0.00	
131.81	139.13	0.00	82.92	0.00	0.00	
131.81	139.29	0.00	82.61	0.00	0.00	
131.80	139.46	0.00	82.58	0.00	0.00	
131.80	139.63	0.00	82.55	0.00	0.00	
131.80	139.80	0.00	82.40	0.00	0.00	
131.79	139.97	0.00	82.40	0.00	0.00	
131.79	140.14	0.00	82.46	0.00	0.00	
131.79	140.31	0.00	82.55	0.00	0.00	
131.78	140.48	0.00	82.55	0.00	0.00	
131.78	140.65	0.00	82.70	0.00	0.00	
131.77	140.82	0.00	82.71	0.00	0.00	
131.77	140.99	0.00	82.71	0.00	0.00	
131.77	141.16	0.00	82.56	0.00	0.00	
131.76	141.33	0.00	82.39	0.00	0.00	
131.76	141.50	0.00	82.33	0.00	0.00	
131.76	141.67	0.00	82.32	0.00	0.00	
131.75	141.84	0.00	82.37	0.00	0.00	
131.75	142.01	0.00	82.50	0.00	0.00	
131.74	142.18	0.00	82.50	0.00	0.00	
131.74	142.34	0.00	82.52	0.00	0.00	
131.74	142.51	0.00	82.64	0.00	0.00	
131.73	142.68	0.00	82.84	0.00	0.00	
131.73	142.85	0.00	83.10	0.00	0.00	
131.73	143.02	0.00	83.10	0.00	0.00	
131.72	143.19	0.00	83.07	0.00	0.00	
131.72	143.36	0.00	83.03	0.00	0.00	
131.72	143.53	0.00	82.98	0.00	0.00	
131.71	143.70	0.00	82.91	0.00	0.00	
131.71	143.87	0.00	82.91	0.00	0.00	
131.70	144.04	0.00	82.96	0.00	0.00	
131.70	144.21	0.00	82.98	0.00	0.00	
131.70	144.38	0.00	83.08	0.00	0.00	
131.69	144.55	0.00	83.07	0.00	0.00	
131.69	144.72	0.00	83.21	0.00	0.00	
131.69	144.89	0.00	83.22	0.00	0.00	
131.68	145.06	0.00	83.52	0.00	0.00	
131.68	145.23	0.00	83.61	0.00	0.00	
131.67	145.39	0.00	83.66	0.00	0.00	
131.67	145.56	0.00	83.84	0.00	0.00	
131.67	145.73	0.00	83.85	0.00	0.00	
131.66	145.90	0.00	83.70	0.00	0.00	
131.66	146.07	0.00	83.71	0.00	0.00	
131.66	146.24	0.00	83.68	0.00	0.00	
131.65	146.41	0.00	83.72	0.00	0.00	
131.65	146.58	0.00	83.75	0.00	0.00	
131.64	146.75	0.00	83.78	0.00	0.00	
131.64	146.92	0.00	83.78	0.00	0.00	
131.64	147.09	0.00	83.70	0.00	0.00	
131.63	147.26	0.00	83.63	0.00	0.00	
131.63	147.43	0.00	83.51	0.00	0.00	
131.63	147.60	0.00	83.36	0.00	0.00	
131.62	147.77	0.00	83.32	0.00	0.00	
131.62	147.94	0.00	83.31	0.00	0.00	
131.62	148.11	0.00	83.46	0.00	0.00	
131.61	148.28	0.00	83.49	0.00	0.00	
131.61	148.44	0.00	83.58	0.00	0.00	
131.60	148.61	0.00	83.68	0.00	0.00	
131.60	148.78	0.00	83.69	0.00	0.00	
131.60	148.95	0.00	83.70	0.00	0.00	
131.59	149.12	0.00	83.71	0.00	0.00	
131.59	149.29	0.00	83.71	0.00	0.00	
131.59	149.46	0.00	83.71	0.00	0.00	
131.58	149.63	0.00	83.61	0.00	0.00	
131.58	149.80	0.00	83.50	0.00	0.00	
131.57	149.97	0.00	83.36	0.00	0.00	
131.57	150.14	0.00	83.35	0.00	0.00	
131.57	150.31	0.00	83.35	0.00	0.00	
131.56	150.48	0.00	83.35	0.00	0.00	
131.56	150.65	0.00	83.07	0.00	0.00	
131.56	150.82	0.00	83.04	0.00	0.00	
131.55	150.99	0.00	82.81	0.00	0.00	
131.55	151.16	0.00	82.58	0.00	0.00	
131.54	151.33	0.00	82.58	0.00	0.00	
131.54	151.49	0.00	82.90	0.00	0.00	
131.54	151.66	0.00	83.29	0.00	0.00	
131.53	151.83	0.00	83.53	0.00	0.00	
131.53	152.00	0.00	83.80	0.00	0.00	
131.53	152.17	0.00	83.92	0.00	0.00	
131.52	152.34	0.00	84.04	0.00	0.00	
131.52	152.51	0.00	84.17	0.00	0.00	
131.51	152.68	0.00	84.17	0.00	0.00	
131.51	152.85	0.00	84.15	0.00	0.00	
131.51	153.02	0.00	84.14	0.00	0.00	
131.50	153.19	0.00	84.14	0.00	0.00	
131.50	153.36	0.00	84.17	0.00	0.00	
131.50	153.53	0.00	84.18	0.00	0.00	
131.49	153.70	0.00	84.27	0.00	0.00	
131.49	153.87	0.00	84.26	0.00	0.00	
131.49	154.04	0.00	84.10	0.00	0.00	
131.48	154.21	0.00	84.02	0.00	0.00	
131.48	154.38	0.00	84.02	0.00	0.00	
131.47	154.54	0.00	84.02	0.00	0.00	
131.47	154.71	0.00	84.07	0.00	0.00	
131.47	154.88	0.00	84.09	0.00	0.00	
131.46	155.05	0.00	84.19	0.00	0.00	
131.46	155.22	0.00	84.18	0.00	0.00	
131.46	155.39	0.00	84.11	0.00	0.00	
131.45	155.56	0.00	84.03	0.00	0.00	
131.45	155.73	0.00	84.01	0.00	0.00	
131.44	155.90	0.00	83.91	0.00	0.00	
131.44	156.07	0.00	83.87	0.00	0.00	
131.44	156.24	0.00	83.80	0.00	0.00	
131.43	156.41	0.00	83.74	0.00	0.00	
131.43	156.58	0.00	83.61	0.00	0.00	
131.43	156.75	0.00	83.51	0.00	0.00	
131.42	156.92	0.00	83.50	0.00	0.00	
131.42	157.09	0.00	83.50	0.00	0.00	
131.41	157.26	0.00	83.61	0.00	0.00	
131.41	157.43	0.00	83.74	0.00	0.00	
131.41	157.59	0.00	83.74	0.00	0.00	
131.40	157.76	0.00	83.63	0.00	0.00	
131.40	157.93	0.00	83.47	0.00	0.00	
131.40	158.10	0.00	83.47	0.00	0.00	
131.39	158.27	0.00	83.47	0.00	0.00	
131.39	158.44	0.00	83.55	0.00	0.00	
131.39	158.61	0.00	83.84	0.00	0.00	
131.38	158.78	0.00	84.08	0.00	0.00	
131.38	158.95	0.00	84.16	0.00	0.00	
131.37	159.12	0.00	84.17	0.00	0.00	
131.37	159.29	0.00	84.04	0.00	0.00	
131.37	159.46	0.00	83.98	0.00	0.00	
131.36	159.63	0.00	83.84	0.00	0.00	
131.36	159.80	0.00	83.73	0.00	0.00	
131.36	159.97	0.00	83.58	0.00	0.00	
131.35	160.14	0.00	83.57	0.00	0.00	
131.35	160.31	0.00	83.40	0.00	0.00	
131.34	160.48	0.00	83.34	0.00	0.00	
131.34	160.64	0.00	83.35	0.00	0.00	
131.34	160.81	0.00	83.40	0.00	0.00	
131.33	160.98	0.00	83.52	0.00	0.00	
131.33	161.15	0.00	83.67	0.00	0.00	
131.33	161.32	0.00	83.90	0.00	0.00	
131.32	161.49	0.00	84.04	0.00	0.00	
131.32	161.66	0.00	84.07	0.00	0.00	
131.31	161.83	0.00	84.16	0.00	0.00	
131.31	162.00	0.00	84.22	0.00	0.00	
131.31	162.17	0.00	84.27	0.00	0.00	
131.30	162.34	0.00	84.28	0.00	0.00	
131.30	162.51	0.00	84.38	0.00	0.00	
131.30	162.68	0.00	84.38	0.00	0.00	
131.29	162.85	0.00	84.38	0.00	0.00	
131.29	163.02	0.00	84.40	0.00	0.00	
131.29	163.19	0.00	84.40	0.00	0.00	
131.28	163.36	0.00	84.24	0.00	0.00	
131.28	163.53	0.00	84.17	0.00	0.00	
131.27	163.69	0.00	84.00	0.00	0.00	
131.27	163.86	0.00	83.72	0.00	0.00	
131.27	164.03	0.00	83.61	0.00	0.00	
131.26	164.20	0.00	83.59	0.00	0.00	
131.26	164.37	0.00	83.59	0.00	0.00	
131.26	164.54	0.00	83.60	0.00	0.00	
131.25	164.71	0.00	83.68	0.00	0.00	
131.25	164.88	0.00	83.77	0.00	0.00	
131.24	165.05	0.00	83.77	0.00	0.00	
131.24	165.22	0.00	83.63	0.00	0.00	
131.24	165.39	0.00	83.51	0.00	0.00	
131.23	165.56	0.00	83.49	0.00	0.00	
131.23	165.73	0.00	83.42	0.00	0.00	
131.23	165.90	0.00	83.43	0.00	0.00	
131.22	166.07	0.00	83.49	0.00	0.00	
131.22	166.24	0.00	83.66	0.00	0.00	
131.21	166.41	0.00	83.84	0.00	0.00	
131.21	166.58	0.00	83.83	0.00	0.00	
131.21	166.74	0.00	83.82	0.00	0.00	
131.20	166.91	0.00	83.75	0.00	0.00	
131.20	167.08	0.00	83.69	0.00	0.00	
131.20	167.25	0.00	83.54	0.00	0.00	
131.19	167.42	0.00	83.53	0.00	0.00	
131.19	167.59	0.00	83.50	0.00	0.00	
131.19	167.76	0.00	83.56	0.00	0.00	
131.18	167.93	0.00	83.73	0.00	0.00	
131.18	168.10	0.00	83.80	0.00	0.00	
131.17	168.27	0.00	83.80	0.00	0.00	
131.17	168.44	0.00	83.76	0.00	0.00	
131.17	168.61	0.00	83.72	0.00	0.00	
131.16	168.78	0.00	83.37	0.00	0.00	
131.16	168.95	0.00	83.21	0.00	0.00	
131.16	169.12	0.00	83.20	0.00	0.00	
131.15	169.29	0.00	83.20	0.00	0.00	
131.15	169.46	0.00	83.37	0.00	0.00	
131.14	169.63	0.00	83.37	0.00	0.00	
131.14	169.79	0.00	83.36	0.00	0.00	
131.14	169.96	0.00	83.37	0.00	0.00	
131.13	170.13	0.00	83.34	0.00	0.00	
131.13	170.30	0.00	83.21	0.00	0.00	
131.13	170.47	0.00	82.88	0.00	0.00	
131.12	170.64	0.00	82.71	0.00	0.00	
131.12	170.81	0.00	82.55	0.00	0.00	
131.11	170.98	0.00	82.21	0.00	0.00	
131.11	171.15	0.00	82.20	0.00	0.00	
131.11	171.32	0.00	82.23	0.00	0.00	
131.10	171.49	0.00	82.31	0.00	0.00	
131.10	171.66	0.00	82.34	0.00	0.00	
131.10	171.83	0.00	82.49	0.00	0.00	
131.09	172.00	0.00	82.49	0.00	0.00	
131.09	172.17	0.00	82.20	0.00	0.00	
131.09	172.34	0.00	82.20	0.00	0.00	
131.08	172.51	0.00	82.28	0.00	0.00	
131.08	172.68	0.00	82.33	0.00	0.00	
131.07	172.84	0.00	82.33	0.00	0.00	
131.07	173.01	0.00	82.43	0.00	0.00	
131.07	173.18	0.00	82.49	0.00	0.00	
131.06	173.35	0.00	82.53	0.00	0.00	
131.06	173.52	0.00	82.76	0.00	0.00	
131.06	173.69	0.00	82.92	0.00	0.00	
131.05	173.86	0.00	83.33	0.00	0.00	
131.05	174.03	0.00	83.49	0.00	0.00	
131.04	174.20	0.00	83.48	0.00	0.00	
131.04	174.37	0.00	83.16	0.00	0.00	
131.04	174.54	0.00	83.14	0.00	0.00	
131.03	174.71	0.00	83.16	0.00	0.00	
131.03	174.88	0.00	83.29	0.00	0.00	
131.03	175.05	0.00	83.39	0.00	0.00	
131.02	175.22	0.00	83.63	0.00	0.00	
131.02	175.39	0.00	83.63	0.00	0.00	
131.01	175.56	0.00	83.51	0.00	0.00	
131.01	175.73	0.00	82.96	0.00	0.00	
131.01	175.89	0.00	82.79	0.00	0.00	
131.00	176.06	0.00	82.52	0.00	0.00	
131.00	176.23	0.00	82.33	0.00	0.00	
131.00	176.40	0.00	82.13	0.00	0.00	
130.99	176.57	0.00	82.06	0.00	0.00	
130.99	176.74	0.00	82.08	0.00	0.00	
130.98	176.91	0.00	82.08	0.00	0.00	
130.98	177.08	0.00	82.19	0.00	0.00	
130.98	177.25	0.00	82.40	0.00	0.00	
130.97	177.42	0.00	82.63	0.00	0.00	
130.97	177.59	0.00	82.90	0.00	0.00	
130.97	177.76	0.00	83.15	0.00	0.00	
130.96	177.93	0.00	83.29	0.00	0.00	
130.96	178.10	0.00	83.32	0.00	0.00	
130.96	178.27	0.00	83.32	0.00	0.00	
130.95	178.44	0.00	83.30	0.00	0.00	
130.95	178.61	0.00	83.22	0.00	0.00	
130.94	178.78	0.00	83.10	0.00	0.00	
130.94	178.94	0.00	83.08	0.00	0.00	
130.94	179.11	0.00	82.81	0.00	0.00	
130.93	179.28	0.00	82.54	0.00	0.00	
130.93	179.45	0.00	82.35	0.00	0.00	
130.93	179.62	0.00	82.33	0.00	0.00	
130.92	179.79	0.00	82.43	0.00	0.00	
130.92	179.96	0.00	82.67	0.00	0.00	
130.91	180.13	0.00	82.70	0.00	0.00	
130.91	180.30	0.00	82.70	0.00	0.00	
130.91	180.47	0.00	82.59	0.00	0.00	
130.90	180.64	0.00	82.28	0.00	0.00	
130.90	180.81	0.00	82.03	0.00	0.00	
130.90	180.98	0.00	81.87	0.00	0.00	
130.89	181.15	0.00	81.80	0.00	0.00	
130.89	181.32	0.00	81.80	0.00	0.00	
130.88	181.49	0.00	81.96	0.00	0.00	
130.88	181.66	0.00	82.00	0.00	0.00	
130.88	181.83	0.00	82.24	0.00	0.00	
130.87	181.99	0.00	82.36	0.00	0.00	
130.87	182.16	0.00	82.39	0.00	0.00	
130.87	182.33	0.00	82.42	0.00	0.00	
130.86	182.50	0.00	82.42	0.00	0.00	
130.86	182.67	0.00	82.40	0.00	0.00	
130.86	182.84	0.00	82.36	0.00	0.00	
130.85	183.01	0.00	82.28	0.00	0.00	
130.85	183.18	0.00	81.92	0.00	0.00	
130.84	183.35	0.00	81.58	0.00	0.00	
130.84	183.52	0.00	81.59	0.00	0.00	
130.84	183.69	0.00	81.61	0.00	0.00	
130.83	183.86	0.00	81.84	0.00	0.00	
130.83	184.03	0.00	82.00	0.00	0.00	
130.83	184.20	0.00	82.11	0.00	0.00	
130.82	184.37	0.00	82.18	0.00	0.00	
130.82	184.54	0.00	82.11	0.00	0.00	
130.81	184.71	0.00	81.98	0.00	0.00	
130.81	184.88	0.00	81.80	0.00	0.00	
130.81	185.04	0.00	81.58	0.00	0.00	
130.80	185.21	0.00	81.58	0.00	0.00	
130.80	185.38	0.00	81.62	0.00	0.00	
130.80	185.55	0.00	81.65	0.00	0.00	
130.79	185.72	0.00	81.76	0.00	0.00	
130.79	185.89	0.00	82.14	0.00	0.00	
130.78	186.06	0.00	82.14	0.00	0.00	
130.78	186.23	0.00	82.16	0.00	0.00	
130.78	186.40	0.00	82.09	0.00	0.00	
130.77	186.57	0.00	82.07	0.00	0.00	
130.77	186.74	0.00	82.06	0.00	0.00	
130.77	186.91	0.00	82.30	0.00	0.00	
130.76	187.08	0.00	82.40	0.00	0.00	
130.76	187.25	0.00	82.55	0.00	0.00	
130.76	187.42	0.00	82.76	0.00	0.00	
130.75	187.59	0.00	82.77	0.00	0.00	
130.75	187.76	0.00	82.77	0.00	0.00	
130.74	187.93	0.00	82.72	0.00	0.00	
130.74	188.09	0.00	82.54	0.00	0.00	
130.74	188.26	0.00	82.40	0.00	0.00	
130.73	188.43	0.00	82.13	0.00	0.00	
130.73	188.60	0.00	82.05	0.00	0.00	
130.73	188.77	0.00	81.77	0.00	0.00	
130.72	188.94	0.00	81.68	0.00	0.00	
130.72	189.11	0.00	81.55	0.00	0.00	
130.71	189.28	0.00	81.40	0.00	0.00	
130.71	189.45	0.00	80.90	0.00	0.00	
130.71	189.62	0.00	80.91	0.00	0.00	
130.70	189.79	0.00	81.92	0.00	0.00	
130.70	189.96	0.00	81.90	0.00	0.00	
130.70	190.13	0.00	81.76	0.00	0.00	
130.69	190.30	0.00	81.55	0.00	0.00	
130.69	190.47	0.00	81.14	0.00	0.00	
130.68	190.64	0.00	81.14	0.00	0.00	
130.68	190.81	0.00	81.27	0.00	0.00	
130.68	190.98	0.00	81.41	0.00	0.00	
130.67	191.14	0.00	81.54	0.00	0.00	
130.67	191.31	0.00	81.82	0.00	0.00	
130.67	191.48	0.00	81.83	0.00	0.00	
130.66	191.65	0.00	81.67	0.00	0.00	
130.66	191.82	0.00	81.28	0.00	0.00	
130.66	191.99	0.00	81.22	0.00	0.00	
130.65	192.16	0.00	81.14	0.00	0.00	
130.65	192.33	0.00	81.13	0.00	0.00	
130.64	192.50	0.00	81.13	0.00	0.00	
130.64	192.67	0.00	81.16	0.00	0.00	
130.64	192.84	0.00	81.17	0.00	0.00	
130.63	193.01	0.00	81.16	0.00	0.00	
130.63	193.18	0.00	81.16	0.00	0.00	
130.63	193.35	0.00	81.14	0.00	0.00	
130.62	193.52	0.00	81.14	0.00	0.00	
130.62	193.69	0.00	81.36	0.00	0.00	
130.61	193.86	0.00	81.49	0.00	0.00	
130.61	194.03	0.00	81.49	0.00	0.00	
130.61	194.19	0.00	81.46	0.00	0.00	
130.60	194.36	0.00	81.45	0.00	0.00	
130.60	194.53	0.00	81.06	0.00	0.00	
130.60	194.70	0.00	81.05	0.00	0.00	
130.59	194.87	0.00	80.86	0.00	0.00	
130.59	195.04	0.00	80.80	0.00	0.00	
130.58	195.21	0.00	80.87	0.00	0.00	
130.58	195.38	0.00	80.70	0.00	0.00	
130.58	195.55	0.00	80.68	0.00	0.00	
130.57	195.72	0.00	80.63	0.00	0.00	
130.57	195.89	0.00	80.59	0.00	0.00	
130.57	196.06	0.00	80.59	0.00	0.00	
130.56	196.23	0.00	80.53	0.00	0.00	
130.56	196.40	0.00	79.41	0.00	0.00	
130.55	196.57	0.00	79.42	0.00	0.00	
130.55	196.74	0.00	79.54	0.00	0.00	
130.55	196.91	0.00	79.56	0.00	0.00	
130.54	197.08	0.00	80.08	0.00	0.00	
130.54	197.24	0.00	80.32	0.00	0.00	
130.54	197.41	0.00	80.39	0.00	0.00	
130.53	197.58	0.00	80.40	0.00	0.00	
130.53	197.75	0.00	80.47	0.00	0.00	
130.53	197.92	0.00	80.00	0.00	0.00	
130.52	198.09	0.00	79.96	0.00	0.00	
130.52	198.26	0.00	79.80	0.00	0.00	
130.51	198.43	0.00	79.53	0.00	0.00	
130.51	198.60	0.00	79.52	0.00	0.00	
130.51	198.77	0.00	79.53	0.00	0.00	
130.50	198.94	0.00	79.76	0.00	0.00	
130.50	199.11	0.00	79.71	0.00	0.00	
130.50	199.28	0.00	79.58	0.00	0.00	
130.49	199.45	0.00	79.57	0.00	0.00	
130.49	199.62	0.00	79.55	0.00	0.00	
130.48	199.79	0.00	80.01	0.00	0.00	
130.48	199.96	0.00	79.48	0.00	0.00	
130.48	200.13	0.00	79.45	0.00	0.00	
130.47	200.29	0.00	79.39	0.00	0.00	
130.47	200.46	0.00	79.35	0.00	0.00	
130.47	200.63	0.00	79.36	0.00	0.00	
130.46	200.80	0.00	79.26	0.00	0.00	
130.46	200.97	0.00	79.13	0.00	0.00	
130.45	201.14	0.00	78.91	0.00	0.00	
130.45	201.31	0.00	78.71	0.00	0.00	
130.45	201.48	0.00	78.70	0.00	0.00	
130.44	201.65	0.00	78.63	0.00	0.00	
130.44	201.82	0.00	78.63	0.00	0.00	
130.44	201.99	0.00	78.42	0.00	0.00	
130.43	202.16	0.00	78.16	0.00	0.00	
130.43	202.33	0.00	78.00	0.00	0.00	
130.43	202.50	0.00	77.79	0.00	0.00	
130.42	202.67	0.00	77.69	0.00	0.00	
130.42	202.84	0.00	77.67	0.00	0.00	
130.41	203.01	0.00	77.66	0.00	0.00	
130.41	203.18	0.00	77.65	0.00	0.00	
130.41	203.34	0.00	77.54	0.00	0.00	
130.40	203.51	0.00	77.36	0.00	0.00	
130.40	203.68	0.00	77.29	0.00	0.00	
130.40	203.85	0.00	76.97	0.00	0.00	
130.39	204.02	0.00	76.96	0.00	0.00	
130.39	204.19	0.00	76.86	0.00	0.00	
130.38	204.36	0.00	76.75	0.00	0.00	
130.38	204.53	0.00	76.64	0.00	0.00	
130.38	204.70	0.00	76.62	0.00	0.00	
130.37	204.87	0.00	76.54	0.00	0.00	
130.37	205.04	0.00	76.53	0.00	0.00	
130.37	205.21	0.00	76.55	0.00	0.00	
130.36	205.38	0.00	76.52	0.00	0.00	
130.36	205.55	0.00	76.49	0.00	0.00	
130.35	205.72	0.00	75.79	0.00	0.00	
130.35	205.89	0.00	75.82	0.00	0.00	
130.35	206.06	0.00	75.91	0.00	0.00	
130.34	206.23	0.00	75.89	0.00	0.00	
130.34	206.39	0.00	75.73	0.00	0.00	
130.34	206.56	0.00	75.63	0.00	0.00	
130.33	206.73	0.00	75.29	0.00	0.00	
130.33	206.90	0.00	74.91	0.00	0.00	
130.33	207.07	0.00	74.64	0.00	0.00	
130.32	207.24	0.00	74.44	0.00	0.00	
130.32	207.41	0.00	74.14	0.00	0.00	
130.31	207.58	0.00	73.80	0.00	0.00	
130.31	207.75	0.00	73.35	0.00	0.00	
130.31	207.92	0.00	73.12	0.00	0.00	
130.30	208.09	0.00	72.86	0.00	0.00	
130.30	208.26	0.00	72.64	0.00	0.00	
130.30	208.43	0.00	72.42	0.00	0.00	
130.29	208.60	0.00	71.98	0.00	0.00	
130.29	208.77	0.00	71.22	0.00	0.00	
130.28	208.94	0.00	70.62	0.00	0.00	
130.28	209.11	0.00	69.98	0.00	0.00	
130.28	209.28	0.00	69.24	0.00	0.00	
130.27	209.44	0.00	68.56	0.00	0.00	
130.27	209.61	0.00	67.90	0.00	0.00	
130.27	209.78	0.00	66.94	0.00	0.00	
130.26	209.95	0.00	66.51	0.00	0.00	
130.26	210.12	0.00	65.81	0.00	0.00	
130.25	210.29	0.00	64.55	0.00	0.00	
130.25	210.46	0.00	63.47	0.00	0.00	
130.25	210.63	0.00	63.17	0.00	0.00	
130.24	210.80	0.00	61.32	0.00	0.00	
130.24	210.97	0.00	58.25	0.00	0.00	
130.24	211.14	0.00	58.10	0.00	0.00	
130.23	211.31	0.00	56.21	0.00	0.00	
130.23	211.48	0.00	54.65	0.00	0.00	
130.23	211.65	0.00	53.09	0.00	0.00	
130.22	211.82	0.00	51.59	0.00	0.00	
130.22	211.99	0.00	49.41	0.00	0.00	
130.21	212.16	0.00	48.58	0.00	0.00	
130.21	212.33	0.00	46.70	0.00	0.00	
130.21	212.49	0.00	44.46	0.00	0.00	
130.20	212.66	0.00	42.71	0.00	0.00	
130.20	212.83	0.00	40.33	0.00	0.00	
130.20	213.00	0.00	38.56	0.00	0.00	
130.19	213.17	0.00	36.78	0.00	0.00	
130.19	213.34	0.00	34.95	0.00	0.00	
130.18	213.51	0.00	32.67	0.00	0.00	
130.18	213.68	0.00	31.15	0.00	0.00	
130.18	213.85	0.00	29.30	0.00	0.00	
130.17	214.02	0.00	27.75	0.00	0.00	
130.17	214.19	0.00	26.25	0.00	0.00	
130.17	214.36	0.00	24.84	0.00	0.00	
130.16	214.53	0.00	23.71	0.00	0.00	
130.16	214.70	0.00	22.43	0.00	0.00	
130.15	214.87	0.00	21.21	0.00	0.00	
130.15	215.04	0.00	20.02	0.00	0.00	
130.15	215.21	0.00	18.95	0.00	0.00	
130.14	215.38	0.00	18.05	0.00	0.00	
130.14	215.54	0.00	17.29	0.00	0.00	
130.14	215.71	0.00	16.49	0.00	0.00	
130.13	215.88	0.00	15.70	0.00	0.00	
130.13	216.05	0.00	15.02	0.00	0.00	
130.13	216.22	0.00	14.28	0.00	0.00	
130.12	216.39	0.00	13.68	0.00	0.00	
130.12	216.56	0.00	13.01	0.00	0.00	
130.11	216.73	0.00	12.49	0.00	0.00	
130.11	216.90	0.00	12.01	0.00	0.00	
130.11	217.07	0.00	11.49	0.00	0.00	
130.10	217.24	0.00	11.00	0.00	0.00	
130.10	217.41	0.00	10.63	0.00	0.00	
130.10	217.58	0.00	10.27	0.00	0.00	
130.09	217.75	0.00	9.92	0.00	0.00	
130.09	217.92	0.00	9.58	0.00	0.00	
130.08	218.09	0.00	9.25	0.00	0.00	
130.08	218.26	0.00	8.95	0.00	0.00	
130.08	218.43	0.00	8.67	0.00	0.00	
130.07	218.59	0.00	8.40	0.00	0.00	
130.07	218.76	0.00	8.17	0.00	0.00	
130.07	218.93	0.00	7.94	0.00	0.00	
130.06	219.10	0.00	7.73	0.00	0.00	
130.06	219.27	0.00	7.52	0.00	0.00	
130.05	219.44	0.00	7.32	0.00	0.00	
130.05	219.61	0.00	7.12	0.00	0.00	
130.05	219.78	0.00	6.95	0.00	0.00	
130.04	219.95	0.00	6.77	0.00	0.00	
130.04	220.12	0.00	6.61	0.00	0.00	
130.04	220.29	0.00	6.47	0.00	0.00	
130.03	220.46	0.00	6.32	0.00	0.00	
130.03	220.63	0.00	6.18	0.00	0.00	
130.02	220.80	0.00	6.04	0.00	0.00	
130.02	220.97	0.00	5.92	0.00	0.00	
130.02	221.14	0.00	5.80	0.00	0.00	
130.01	221.31	0.00	5.69	0.00	0.00	
130.01	221.48	0.00	5.59	0.00	0.00	
