08-10-2012 11:20:05

Radiation device: UTest
Energy: 6 MeV
Controller:	Unspecified
Measurement device:	Film
Field detector:	Film
Reference detector:	Undefined
SAD:	1000 mm
SSD:	1000 mm
Field size:	100 x 100 mm
Gantry angle: 3
Measurement medium: Unknown
Scan type:	Freescan
Scan mode:	Continuous

Points [mm]:
Inline	Crossline	Depth	Normalized field	Current field	Ratio
133.54	60.16	0.00	1.42	0.00	0.00	
133.54	60.33	0.00	1.43	0.00	0.00	
133.53	60.50	0.00	1.43	0.00	0.00	
133.53	60.67	0.00	1.44	0.00	0.00	
133.52	60.84	0.00	1.45	0.00	0.00	
133.52	61.01	0.00	1.46	0.00	0.00	
133.52	61.18	0.00	1.46	0.00	0.00	
133.51	61.35	0.00	1.46	0.00	0.00	
133.51	61.52	0.00	1.47	0.00	0.00	
133.51	61.69	0.00	1.47	0.00	0.00	
133.50	61.86	0.00	1.47	0.00	0.00	
133.50	62.03	0.00	1.47	0.00	0.00	
133.49	62.20	0.00	1.47	0.00	0.00	
133.49	62.37	0.00	1.47	0.00	0.00	
133.49	62.54	0.00	1.46	0.00	0.00	
133.48	62.71	0.00	1.46	0.00	0.00	
133.48	62.88	0.00	1.46	0.00	0.00	
133.48	63.04	0.00	1.46	0.00	0.00	
133.47	63.21	0.00	1.47	0.00	0.00	
133.47	63.38	0.00	1.48	0.00	0.00	
133.46	63.55	0.00	1.49	0.00	0.00	
133.46	63.72	0.00	1.50	0.00	0.00	
133.46	63.89	0.00	1.50	0.00	0.00	
133.45	64.06	0.00	1.50	0.00	0.00	
133.45	64.23	0.00	1.50	0.00	0.00	
133.45	64.40	0.00	1.50	0.00	0.00	
133.44	64.57	0.00	1.51	0.00	0.00	
133.44	64.74	0.00	1.52	0.00	0.00	
133.43	64.91	0.00	1.52	0.00	0.00	
133.43	65.08	0.00	1.53	0.00	0.00	
133.43	65.25	0.00	1.54	0.00	0.00	
133.42	65.42	0.00	1.54	0.00	0.00	
133.42	65.59	0.00	1.54	0.00	0.00	
133.42	65.76	0.00	1.54	0.00	0.00	
133.41	65.93	0.00	1.55	0.00	0.00	
133.41	66.09	0.00	1.54	0.00	0.00	
133.41	66.26	0.00	1.54	0.00	0.00	
133.40	66.43	0.00	1.55	0.00	0.00	
133.40	66.60	0.00	1.55	0.00	0.00	
133.39	66.77	0.00	1.56	0.00	0.00	
133.39	66.94	0.00	1.56	0.00	0.00	
133.39	67.11	0.00	1.56	0.00	0.00	
133.38	67.28	0.00	1.56	0.00	0.00	
133.38	67.45	0.00	1.56	0.00	0.00	
133.38	67.62	0.00	1.56	0.00	0.00	
133.37	67.79	0.00	1.57	0.00	0.00	
133.37	67.96	0.00	1.57	0.00	0.00	
133.36	68.13	0.00	1.58	0.00	0.00	
133.36	68.30	0.00	1.59	0.00	0.00	
133.36	68.47	0.00	1.61	0.00	0.00	
133.35	68.64	0.00	1.62	0.00	0.00	
133.35	68.81	0.00	1.62	0.00	0.00	
133.35	68.98	0.00	1.63	0.00	0.00	
133.34	69.14	0.00	1.63	0.00	0.00	
133.34	69.31	0.00	1.63	0.00	0.00	
133.33	69.48	0.00	1.64	0.00	0.00	
133.33	69.65	0.00	1.64	0.00	0.00	
133.33	69.82	0.00	1.65	0.00	0.00	
133.32	69.99	0.00	1.66	0.00	0.00	
133.32	70.16	0.00	1.66	0.00	0.00	
133.32	70.33	0.00	1.67	0.00	0.00	
133.31	70.50	0.00	1.67	0.00	0.00	
133.31	70.67	0.00	1.68	0.00	0.00	
133.31	70.84	0.00	1.68	0.00	0.00	
133.30	71.01	0.00	1.69	0.00	0.00	
133.30	71.18	0.00	1.70	0.00	0.00	
133.29	71.35	0.00	1.71	0.00	0.00	
133.29	71.52	0.00	1.72	0.00	0.00	
133.29	71.69	0.00	1.72	0.00	0.00	
133.28	71.86	0.00	1.73	0.00	0.00	
133.28	72.03	0.00	1.74	0.00	0.00	
133.28	72.19	0.00	1.74	0.00	0.00	
133.27	72.36	0.00	1.74	0.00	0.00	
133.27	72.53	0.00	1.75	0.00	0.00	
133.26	72.70	0.00	1.75	0.00	0.00	
133.26	72.87	0.00	1.75	0.00	0.00	
133.26	73.04	0.00	1.75	0.00	0.00	
133.25	73.21	0.00	1.76	0.00	0.00	
133.25	73.38	0.00	1.76	0.00	0.00	
133.25	73.55	0.00	1.77	0.00	0.00	
133.24	73.72	0.00	1.77	0.00	0.00	
133.24	73.89	0.00	1.77	0.00	0.00	
133.23	74.06	0.00	1.78	0.00	0.00	
133.23	74.23	0.00	1.78	0.00	0.00	
133.23	74.40	0.00	1.80	0.00	0.00	
133.22	74.57	0.00	1.81	0.00	0.00	
133.22	74.74	0.00	1.81	0.00	0.00	
133.22	74.91	0.00	1.82	0.00	0.00	
133.21	75.08	0.00	1.83	0.00	0.00	
133.21	75.24	0.00	1.83	0.00	0.00	
133.21	75.41	0.00	1.84	0.00	0.00	
133.20	75.58	0.00	1.85	0.00	0.00	
133.20	75.75	0.00	1.85	0.00	0.00	
133.19	75.92	0.00	1.86	0.00	0.00	
133.19	76.09	0.00	1.87	0.00	0.00	
133.19	76.26	0.00	1.88	0.00	0.00	
133.18	76.43	0.00	1.88	0.00	0.00	
133.18	76.60	0.00	1.89	0.00	0.00	
133.18	76.77	0.00	1.90	0.00	0.00	
133.17	76.94	0.00	1.91	0.00	0.00	
133.17	77.11	0.00	1.92	0.00	0.00	
133.16	77.28	0.00	1.92	0.00	0.00	
133.16	77.45	0.00	1.94	0.00	0.00	
133.16	77.62	0.00	1.94	0.00	0.00	
133.15	77.79	0.00	1.95	0.00	0.00	
133.15	77.96	0.00	1.96	0.00	0.00	
133.15	78.13	0.00	1.98	0.00	0.00	
133.14	78.29	0.00	1.99	0.00	0.00	
133.14	78.46	0.00	2.00	0.00	0.00	
133.13	78.63	0.00	2.01	0.00	0.00	
133.13	78.80	0.00	2.02	0.00	0.00	
133.13	78.97	0.00	2.02	0.00	0.00	
133.12	79.14	0.00	2.03	0.00	0.00	
133.12	79.31	0.00	2.04	0.00	0.00	
133.12	79.48	0.00	2.05	0.00	0.00	
133.11	79.65	0.00	2.06	0.00	0.00	
133.11	79.82	0.00	2.08	0.00	0.00	
133.11	79.99	0.00	2.08	0.00	0.00	
133.10	80.16	0.00	2.08	0.00	0.00	
133.10	80.33	0.00	2.07	0.00	0.00	
133.09	80.50	0.00	2.07	0.00	0.00	
133.09	80.67	0.00	2.07	0.00	0.00	
133.09	80.84	0.00	2.07	0.00	0.00	
133.08	81.01	0.00	2.08	0.00	0.00	
133.08	81.18	0.00	2.09	0.00	0.00	
133.08	81.34	0.00	2.10	0.00	0.00	
133.07	81.51	0.00	2.12	0.00	0.00	
133.07	81.68	0.00	2.13	0.00	0.00	
133.06	81.85	0.00	2.13	0.00	0.00	
133.06	82.02	0.00	2.14	0.00	0.00	
133.06	82.19	0.00	2.14	0.00	0.00	
133.05	82.36	0.00	2.13	0.00	0.00	
133.05	82.53	0.00	2.13	0.00	0.00	
133.05	82.70	0.00	2.14	0.00	0.00	
133.04	82.87	0.00	2.14	0.00	0.00	
133.04	83.04	0.00	2.15	0.00	0.00	
133.03	83.21	0.00	2.17	0.00	0.00	
133.03	83.38	0.00	2.19	0.00	0.00	
133.03	83.55	0.00	2.20	0.00	0.00	
133.02	83.72	0.00	2.21	0.00	0.00	
133.02	83.89	0.00	2.22	0.00	0.00	
133.02	84.06	0.00	2.23	0.00	0.00	
133.01	84.23	0.00	2.25	0.00	0.00	
133.01	84.39	0.00	2.26	0.00	0.00	
133.01	84.56	0.00	2.27	0.00	0.00	
133.00	84.73	0.00	2.27	0.00	0.00	
133.00	84.90	0.00	2.28	0.00	0.00	
132.99	85.07	0.00	2.29	0.00	0.00	
132.99	85.24	0.00	2.30	0.00	0.00	
132.99	85.41	0.00	2.32	0.00	0.00	
